Type,TypeEn,Message,Choice,Euro,Icon
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας παντρεύεται,Πλήρωσε 400 Ευρώ στον αντίπαλο,400,gamos.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 200 Ευρω για την ασφάλεια του αυτοκινήτου, Κράτα το Λογαριασμό,200,asfaleia.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 500 Ευρώ για την δόση της Εφορίας, Κράτα το Λογαριασμό,500,eforia.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 500 Ευρώ για την πρώτη δόση του ΕΝΦΙΑ, Κράτα το Λογαριασμό,500,enfia.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Ιδιαίτερα μαθήματα αγγλικών στο γείτονα,Πάρε 380 Ευρώ από τον αντίπαλο,380,english.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Ο γείτονας σου δίνει χρήματα για τη γιορτή σου,Πάρε 100 Ευρώ από τον αντίπαλο,100,dwro.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Κράτηση της γάτας του γείτονα λόγω διακοπών,Πάρε 150 Ευρώ από τον αντίπαλο,150,cat.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πήγες το αυτοκίνητο του γείτονα στο ΚΤΕΟ,Πάρε 100 Ευρώ από τον αντίπαλο,100,kteo.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Φιλανθρωπία,Charity,Σώσε τα αδέσποτα, Πλήρωσε 100 Ευρώ στο Jackpot,100,adespoto.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πώληση μεταχειρισμένου Playstasion 3 στο Γείτονα,Πάρε 120 Ευρώ από τον αντίπαλο,120,ps3.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Format στον υπολογιστή του γείτονα,Πάρε 50 Ευρώ από τον αντίπαλο,50,format.jpeg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 200 Ευρώ για τον Λογαριασμο της ΔΕΗ, Κράτα το Λογαριασμό,200,deh.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Αγορά μεταχειρισμένης οθόνης από το γείτονα,Πλήρωσε 60 Ευρώ στον αντίπαλο,60,monitor.png
Πλήρωσε τον γείτονα,PayTheNeighbor,Ιδιαίτερα μαθήματα κιθάρας από το γείτονα,Πλήρωσε 200 Ευρώ στον αντίπαλο,200,guitar.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 1500 Ευρώ για την προκαταβολή του αυτοκινήτου, Κράτα το Λογαριασμό,1500,car.png
Πάρε λεφτά από το γείτονα,MadMoney,Πάρε τα χρήματα για τη δόση του πετρελαίου από το γείτονα,Πάρε 350 Ευρώ από τον αντίπαλο,350,kalorifer.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας κράτησε τον σκύλο σου στις διακοπές,Πλήρωσε 300 Ευρώ στον αντίπαλο,300,dog.jpg
Διαφήμιση,Αdvertisement,Μοιράσου μία Coca Cola με τον συμφοιτοιτή σου ,Πουλησε την για 20 Ευρώ,20,cola.png
Πλήρωσε τον γείτονα,PayTheNeighbor,Δώσε τα κοινόχρηστα στο γείτονα,Πλήρωσε 67 Ευρώ στον αντίπαλο,67,koinoxrista.jpg
